"","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.658265705414286,0.847324656191108,0.844474705225003,0.966218712808113,0.75878270818991,0.847324656191108,0.719564555033122,0.814807279146346,0.705749911187772,NA,0,0,0,0,0,0,0,0,0
"neuron",0.658265705414286,1,0.877754050788132,0.284288136074709,0.784939582049912,0.259117180103366,0.877754050788132,0.224262461074747,0.375012619527838,0.172805316589368,0,NA,0,0,0,4.21884749357559e-15,0,1.3464562798049e-11,0,2.16967165345139e-07
"mouse_FVN_Swiss",0.847324656191108,0.877754050788132,1,0.436160084518416,0.938838988362749,0.383314273574588,1,0.342294867874893,0.532066576093057,0.301973772464437,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.844474705225003,0.284288136074709,0.436160084518416,1,0.699750223448315,0.91002239425577,0.436160084518416,0.884574204784271,0.849009184129186,0.899048811024045,0,0,0,NA,0,0,0,0,0,0
"No_data",0.966218712808113,0.784939582049912,0.938838988362749,0.699750223448315,1,0.576201991522034,0.938838988362749,0.53154318862821,0.738004725345799,0.595120460696836,0,0,0,0,NA,0,0,0,0,0
"5_months",0.75878270818991,0.259117180103366,0.383314273574588,0.91002239425577,0.576201991522034,1,0.383314273574588,0.989163142894853,0.710338885482228,0.694041031056725,0,4.21884749357559e-15,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.847324656191108,0.877754050788132,1,0.436160084518416,0.938838988362749,0.383314273574588,1,0.342294867874893,0.532066576093057,0.301973772464437,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.719564555033122,0.224262461074747,0.342294867874893,0.884574204784271,0.53154318862821,0.989163142894853,0.342294867874893,1,0.6288228838124,0.688207700922358,0,1.3464562798049e-11,0,0,0,0,0,NA,0,0
"brain",0.814807279146346,0.375012619527838,0.532066576093057,0.849009184129186,0.738004725345799,0.710338885482228,0.532066576093057,0.6288228838124,1,0.652360726578466,0,0,0,0,0,0,0,0,NA,0
"blood",0.705749911187772,0.172805316589368,0.301973772464437,0.899048811024045,0.595120460696836,0.694041031056725,0.301973772464437,0.688207700922358,0.652360726578466,1,0,2.16967165345139e-07,0,0,0,0,0,0,0,NA
