"","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.759144362139592,0.87675672813894,0.917673954709109,0.970290914394711,0.846039938996122,0.87675672813894,0.83181666766475,0.892907284140055,0.822634096661475,NA,0,0,0,0,0,0,0,0,0
"neuron",0.759144362139592,1,0.925243480781618,0.505303372241446,0.853423870559303,0.45249208731346,0.925243480781618,0.443162917518641,0.528822674725469,0.435078224478817,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.87675672813894,0.925243480781618,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.917673954709109,0.505303372241446,0.615498957163938,1,0.812320004313638,0.931775968922637,0.615498957163938,0.920835901597631,0.938331182850336,0.91253474189258,0,0,0,NA,0,0,0,0,0,0
"No_data",0.970290914394711,0.853423870559303,0.947762091415806,0.812320004313638,1,0.69616509278345,0.947762091415806,0.680574917251173,0.819849412582887,0.764519415592841,0,0,0,0,NA,0,0,0,0,0
"5_months",0.846039938996122,0.45249208731346,0.555442499249092,0.931775968922637,0.69616509278345,1,0.555442499249092,0.993346012713934,0.837143793178138,0.729769051039131,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.87675672813894,0.925243480781618,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.83181666766475,0.443162917518641,0.541082961676623,0.920835901597631,0.680574917251173,0.993346012713934,0.541082961676623,1,0.79961911812668,0.726222164854696,0,0,0,0,0,0,0,NA,0,0
"brain",0.892907284140055,0.528822674725469,0.639646984219145,0.938331182850336,0.819849412582887,0.837143793178138,0.639646984219145,0.79961911812668,1,0.817782585985766,0,0,0,0,0,0,0,0,NA,0
"blood",0.822634096661475,0.435078224478817,0.532728912877883,0.91253474189258,0.764519415592841,0.729769051039131,0.532728912877883,0.726222164854696,0.817782585985766,1,0,0,0,0,0,0,0,0,0,NA
