"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.501057579538464,NA,0
"mouse_C57BL6",0.501057579538464,1,0,NA
