"","other","neuron"
"1700003N22Rik",2.43171346840673,4.61948663710318
"1700026J14Rik",0.145479616101873,0.145176419533115
"2210011C24Rik",1.45127996096875,0.673585061272224
"2700046A07Rik",1.04879145844846,0.338703143118283
"2810468N07Rik",3.40339771663281,4.03175432762711
"A930003A15Rik",0.336963893152791,0.4755054111156
"AA986860",1.09944796296105,1.30496452141955
"AC110091.1",0.819987805575079,0.0272545101938992
"AC114543.1",0.141318267204244,0.117822359121372
"AC116487.3",0.473314574688371,1.33171878283733
"AC122356.1",0.783619209808839,0.0123330603002993
"AC122356.2",0.24969809997108,0
"AC139054.1",0.211933773945491,0.160483465142809
"AC140244.1",1.79272896237258,1.94099609409199
"AC142114.1",3.43538774603439,7.51952032700692
"AC161383.1",0.112385776155049,0
"AC161763.1",2.06945075140866,2.03400564197088
"AC225888.1",1.60582133418796,3.9584679366674
"Aacs",3.29236267327472,4.52172172763285
"Aatk",3.11998470902449,5.22865583417653
"Abca2",4.67675698109394,6.77791872337886
"Acot7",2.02658154813664,4.75206858288725
"Acss2",1.91867207742533,2.33972645088469
"Acy3",2.51179120670456,1.59428064332225
"Adamts2",0.275629021426762,0.218159036611167
"Adamts4",1.99397423003611,2.56331468309673
"Adamtsl4",1.91306156143649,1.56186682812588
"Adcy5",0.850923983247634,3.58098562755925
"Adi1",4.92971959576162,4.73214777834841
"Ado",6.11958561863615,6.2842006489674
"Agpat4",2.11059669893787,3.02432710439544
"Aldh3b2",0.476247881018615,0.519024947863678
"Ankub1",0.345845847494458,0.013640178440578
"Anln",1.76234916192814,0.588601415541718
"Apbb1",3.38439051207207,7.05908265699619
"Aplp1",3.92480500239906,9.59400466226013
"Apod",2.54757933837011,1.22085042917974
"Arhgap23",2.18007690395366,4.30261666350091
"Arhgef10",1.509770333783,1.48515465369395
"Arl2",4.81538592301264,5.55278577016019
"Arsg",1.90183171920461,1.28322546974827
"Aspa",1.98999417546599,0.322901284808349
"Atp5l-ps1",0.490741878538767,0.593308840331895
"B230206L02Rik",0.350015035341323,0.509483735638689
"B3galt5",1.22750422112273,0.736332105039179
"B3gnt9",1.74340820823633,3.87655566636252
"BB187690",0.434110827800996,0
"BC034090",1.10420233733198,2.18079777166625
"Bace2",0.627509038599881,0.167652659057726
"Barx2",0.51481831807578,0.332026180119214
"Bcas1",1.64379120480071,1.480880677673
"Bpgm",3.39898283168292,3.98080466211786
"Cacna2d4",0.278529191132835,0.0526935569744303
"Camk2a",1.63350948692571,4.00389032552503
"Car14",2.59991381120823,1.83381002892807
"Car2",3.65285227637399,4.09732038351008
"Carhsp1",1.64409502241953,2.76238674970965
"Carns1",2.0692763440965,2.0289055654685
