"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.342294867874893,0.532066576093057,0.301973772464437,NA,0,0,0
"peritoneum",0.342294867874893,1,0.6288228838124,0.688207700922358,0,NA,0,0
"brain",0.532066576093057,0.6288228838124,1,0.652360726578466,0,0,NA,0
"blood",0.301973772464437,0.688207700922358,0.652360726578466,1,0,0,0,NA
