"","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.675266936359036,0.841583419634816,0.832229967226166,0.958661725156768,0.727122938594046,0.841583419634816,0.686332740355341,0.799393605604795,0.655203204278853,NA,0,0,0,0,0,0,0,0,0
"neuron",0.675266936359036,1,0.907338966774255,0.271791402469921,0.815791535605639,0.256805177199314,0.907338966774255,0.22598211808004,0.371675333985955,0.1286885083201,0,NA,0,0,0,0,0,0,0,1.09577678486517e-07
"mouse_FVN_Swiss",0.841583419634816,0.907338966774255,1,0.408748012824998,0.940565719597801,0.362724826115895,1,0.321253928333295,0.517312335032583,0.24207569044324,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.832229967226166,0.271791402469921,0.408748012824998,1,0.668315428202657,0.872276876917356,0.408748012824998,0.847102539324238,0.824743048121994,0.869380302900878,0,0,0,NA,0,0,0,0,0,0
"No_data",0.958661725156768,0.815791535605639,0.940565719597801,0.668315428202657,1,0.521231427046494,0.940565719597801,0.476729989565495,0.713117095218466,0.540610151940817,0,0,0,0,NA,0,0,0,0,0
"5_months",0.727122938594046,0.256805177199314,0.362724826115895,0.872276876917356,0.521231427046494,1,0.362724826115895,0.987465164750886,0.657848016370917,0.576932139919436,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.841583419634816,0.907338966774255,1,0.408748012824998,0.940565719597801,0.362724826115895,1,0.321253928333295,0.517312335032583,0.24207569044324,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.686332740355341,0.22598211808004,0.321253928333295,0.847102539324238,0.476729989565495,0.987465164750886,0.321253928333295,1,0.571663664228505,0.573444760194845,0,0,0,0,0,0,0,NA,0,0
"brain",0.799393605604795,0.371675333985955,0.517312335032583,0.824743048121994,0.713117095218466,0.657848016370917,0.517312335032583,0.571663664228505,1,0.591737082221725,0,0,0,0,0,0,0,0,NA,0
"blood",0.655203204278853,0.1286885083201,0.24207569044324,0.869380302900878,0.540610151940817,0.576932139919436,0.24207569044324,0.573444760194845,0.591737082221725,1,0,1.09577678486517e-07,0,0,0,0,0,0,0,NA
