"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.482077831546012,NA,0
"mouse_C57BL6",0.482077831546012,1,0,NA
