"","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","neuron","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.727380051418833,0.899961120570517,0.824733744084995,0.973772290827068,0.717789375672664,0.899961120570517,0.690288176252908,0.798808288957007,0.756428685161322,NA,0,0,0,0,0,0,0,0,0
"neuron",0.727380051418833,1,0.871124066868515,0.380818307353886,0.825615542418657,0.291456272773648,0.871124066868515,0.274456143610209,0.434414024214208,0.337102594977017,0,NA,0,2.35367281220533e-14,0,9.31339227960848e-09,0,6.89496064687489e-08,0,2.16591189428073e-11
"mouse_FVN_Swiss",0.899961120570517,0.871124066868515,1,0.501057579538464,0.966456681353207,0.393071975159564,1,0.365894676155295,0.543566008833453,0.46315324580069,0,0,NA,0,0,2.88657986402541e-15,0,2.72670774847938e-13,0,0
"mouse_C57BL6",0.824733744084995,0.380818307353886,0.501057579538464,1,0.692421820485272,0.927142061460642,0.501057579538464,0.908971881642778,0.894445150057807,0.908583229230509,0,2.35367281220533e-14,0,NA,0,0,0,0,0,0
"No_data",0.973772290827068,0.825615542418657,0.966456681353207,0.692421820485272,1,0.549953358590757,0.966456681353207,0.521131516878295,0.706511486150183,0.663285341007843,0,0,0,0,NA,0,0,0,0,0
"5_months",0.717789375672664,0.291456272773648,0.393071975159564,0.927142061460642,0.549953358590757,1,0.393071975159564,0.990120320056686,0.786600149600071,0.729432556374116,0,9.31339227960848e-09,2.88657986402541e-15,0,0,NA,2.88657986402541e-15,0,0,0
"cerebral_cortex",0.899961120570517,0.871124066868515,1,0.501057579538464,0.966456681353207,0.393071975159564,1,0.365894676155295,0.543566008833453,0.46315324580069,0,0,0,0,0,2.88657986402541e-15,NA,2.72670774847938e-13,0,0
"peritoneum",0.690288176252908,0.274456143610209,0.365894676155295,0.908971881642778,0.521131516878295,0.990120320056686,0.365894676155295,1,0.723819842841307,0.726690844820505,0,6.89496064687489e-08,2.72670774847938e-13,0,0,0,2.72670774847938e-13,NA,0,0
"brain",0.798808288957007,0.434414024214208,0.543566008833453,0.894445150057807,0.706511486150183,0.786600149600071,0.543566008833453,0.723819842841307,1,0.728794293897007,0,0,0,0,0,0,0,0,NA,0
"blood",0.756428685161322,0.337102594977017,0.46315324580069,0.908583229230509,0.663285341007843,0.729432556374116,0.46315324580069,0.726690844820505,0.728794293897007,1,0,2.16591189428073e-11,0,0,0,0,0,0,0,NA
