"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.408748012824998,NA,0
"mouse_C57BL6",0.408748012824998,1,0,NA
