"","HuAgeMSNDsplitRnaseq_14....astroBYoFC5__"
"1","ADRA2A"
"2","CASKIN1"
"3","CECR2"
"4","DKK3"
"5","DZIP1"
"6","ERBB2"
"7","INPP5J"
"8","KCNC4"
"9","LRP3"
"10","OGDHL"
"11","PFKM"
"12","RASGRP1"
"13","RCN2"
"14","RGCC"
"15","SFRP1"
"16","SLC25A34"
"17","SYBU"
"18","TAGLN3"
"19","TET2"
"20","TUBB2A"
"21","USP51"
"22","WNK2"
"23","ZBTB37"
"24","ZNF665"
