"","darkgrey....PGBCbyQGBC_Aulestia_FC5___"
"1","ACTG2"
"2","ADAMTS1"
"3","BGN"
"4","C1QTNF1"
"5","CCR7"
"6","COL8A1"
"7","CXCL2"
"8","CXCL3"
"9","EDNRA"
"10","ELN"
"11","EMILIN1"
"12","FN1"
"13","FOXL1"
"14","HSPG2"
"15","IER3"
"16","IGFBP4"
"17","KLHL30-AS1"
"18","MRGPRF"
"19","MYADM"
"20","MYH9"
"21","NPR1"
"22","PABPC4L"
"23","PHLDA2"
"24","PROCR"
"25","PTGS2"
"26","SRGN"
"27","TAGLN"
"28","TGFBI"
"29","TNS1"
