"","HuAgeMSNDsplitRnaseq_08....astroBYoFC5__"
"1","AGL"
"2","AMER2"
"3","ARHGEF17"
"4","CA2"
"5","CAP2"
"6","COL4A5"
"7","CSDC2"
"8","CYP7B1"
"9","FAM228B"
"10","FEZF2"
"11","FMO4"
"12","FOLH1"
"13","GABBR2"
"14","GADD45G"
"15","GCNT4"
"16","GDF10"
"17","GPR19"
"18","HLF"
"19","IGDCC4"
"20","KCNA2"
"21","KIAA1755"
"22","KREMEN1"
"23","MACF1"
"24","MDN1"
"25","NAT8"
"26","NRBP2"
"27","RNASE1"
"28","THBS4"
"29","TMC4"
"30","TNFAIP6"
"31","TRA2A"
"32","TSPAN7"
"33","UBR5"
"34","WDR5B"
