"","HuAgeMSNDsplitRnaseq_18....PGBCbyQGBC_Aulestia_FC5___"
"1","ADGRA2"
"2","CD34"
"3","CTGF"
"4","CXCL1"
"5","EDN1"
"6","ETS2"
"7","HS3ST3B1"
"8","IL4R"
"9","LINC00942"
"10","LTBR"
"11","P2RY6"
"12","PALMD"
"13","PAPSS2"
"14","PMAIP1"
"15","SOX18"
"16","TBX3"
"17","TCN2"
"18","TGM2"
"19","TNFRSF10D"
