"","HuAgeMSNDsplitRnaseq_05....MicroByMacro_Zhang_Cuffdiff2FCover20__"
"1","ASAP3"
"2","CSTA"
"3","CXXC5"
"4","DUOXA1"
"5","EDN3"
"6","GCNT1"
"7","IL1RL2"
"8","IL7R"
"9","KCND1"
"10","KCNJ8"
"11","LCN2"
"12","LILRA5"
"13","NRCAM"
"14","NTN1"
"15","PLVAP"
"16","PRSS23"
"17","RHO"
"18","SH2B2"
"19","SPSB1"
"20","ST3GAL6"
"21","THBS2"
"22","USP35"
