"","HuAgeMSNDsplitRnaseq_11....qnpBYtap_Mukherjee_FC5___"
"1","ACE"
"2","ADRB1"
"3","ALDH1A3"
"4","ALG8"
"5","AP3B2"
"6","ARHGAP6"
"7","CCDC14"
"8","CDH13"
"9","COG7"
"10","DUSP14"
"11","GOLPH3L"
"12","GRHL1"
"13","ID2"
"14","KIF26B"
"15","KIF7"
"16","MINPP1"
"17","NUDT19"
"18","PDE2A"
"19","POSTN"
"20","SCPEP1"
"21","SDK2"
"22","SEC24A"
"23","SHANK2"
"24","UQCC3"
"25","VPS37C"
"26","WRB"
"27","WSB1"
