"","lightgreen....qnpBYtap_Mukherjee_FC5___"
"1","AKAP10"
"2","ATP10A"
"3","BCL6B"
"4","EHBP1L1"
"5","EPHA2"
"6","ETS2"
"7","FLI1"
"8","FLT1"
"9","GATA2"
"10","HS3ST3B1"
"11","ITM2A"
"12","LAMA5"
"13","MEX3B"
"14","PAPSS2"
"15","PDGFRB"
"16","PRX"
"17","PTGDR2"
"18","RAMP2"
"19","RASIP1"
"20","SEMA3F"
"21","SLC9A3R2"
"22","STARD8"
"23","TINAGL1"
"24","ZNF324"
