"","HuAgeMSNDsplitRnaseq_13....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","C9orf131"
"2","CABP7"
"3","CADM1"
"4","CHST8"
"5","CNIH3"
"6","CTXND1"
"7","DAND5"
"8","FAM126A"
"9","FAM182B"
"10","IL12RB2"
"11","LYPD1"
"12","PA2G4P2"
"13","PDCD1LG2"
"14","PGM2"
"15","SAMD3"
"16","SHISA6"
"17","SULF2"
"18","TMEM200A"
"19","YWHAZP6"
