"","HuAgeMSNDsplitRnaseq_18....PGBObyQGBO_GSE114574_Tejero_FC5___"
"1","AKAP10"
"2","CCM2L"
"3","FENDRR"
"4","FGF12"
"5","FOXF2"
"6","GJC1"
"7","GMCL1"
"8","ITM2A"
"9","NDUFA5P6"
"10","NUDT2"
"11","PCDH12"
"12","PNP"
"13","PPARGC1B"
"14","SLC19A1"
"15","SLC19A3"
"16","SLC39A10"
"17","SLC6A12"
"18","SLC6A6"
"19","SLC7A5"
"20","SLCO4A1"
"21","SMAD6"
"22","SOX18"
"23","SPATA2L"
"24","SPRED2"
"25","TMEM173"
