"","HuAgeMSNDsplitRnaseq_02....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ACSL6"
"2","ANO7"
"3","ASB2"
"4","C15orf39"
"5","CAMK2N1"
"6","CAND2"
"7","CFAP74"
"8","CRYBB1"
"9","FADS3"
"10","GDPD1"
"11","KHDRBS3"
"12","LIPH"
"13","MB21D2"
"14","MYO1B"
"15","NUAK1"
"16","RGL3"
"17","RILPL1"
"18","RTN4RL1"
"19","TMEM44"
"20","USP2"
"21","ZNF354B"
