"","magenta....MonoByMicro_Zhang_Cuffdiff2FCover20__"
"1","AFF3"
"2","EFCAB13"
"3","FSCN2"
"4","FUT2"
"5","GGT1"
"6","GRID1"
"7","GRK5"
"8","GUCY2C"
"9","ITGA1"
"10","LDLRAD3"
"11","MFAP3L"
"12","NCK2"
"13","NXN"
"14","NXPE4"
"15","PATE1"
"16","PDE7B"
"17","PIP5K1B"
"18","RFX2"
"19","SH3BGRL2"
"20","SLC22A23"
"21","SLCO3A1"
"22","TIAM2"
"23","XYLT1"
"24","ZNF536"
