"","lightcyan....tapBYqnp_Mukherjee_FC5___"
"1","ADAT2"
"2","ANKS1B"
"3","CC2D2A"
"4","CTSA"
"5","DPP6"
"6","ESRRG"
"7","IMMP1L"
"8","IQCJ-SCHIP1"
"9","LRCH2"
"10","MAGI2"
"11","MBD3"
"12","MPV17"
"13","NRG2"
"14","PDE4D"
"15","PHACTR3"
"16","PRKG2"
"17","SHPRH"
"18","TASP1"
"19","WNK3"
"20","ZNF770"
