"","HuAgeMSNDsplitRnaseq_01....PSVZbyQSVZ_Morizur_FC5___"
"1","AATF"
"2","ABCB7"
"3","ABCE1"
"4","ABCF1"
"5","ABCF2"
"6","ACAT1"
"7","ACBD3"
"8","ACLY"
"9","ACTL6A"
"10","ACTR2"
"11","ACTR3"
"12","ACTR8"
"13","ADAM9"
"14","ADNP"
"15","ADPRHL2"
"16","AGO1"
"17","AHCY"
"18","AKAP6"
"19","AKAP8L"
"20","AKIP1"
"21","AKIRIN2"
"22","AKT1"
"23","ALAS1"
"24","ALKBH2"
"25","ALYREF"
"26","AMBRA1"
"27","AMPH"
"28","ANKRD52"
"29","AP1G1"
"30","AP2A2"
"31","AP3S2"
"32","AP5M1"
"33","APEX1"
"34","API5"
"35","APOBEC3H"
"36","ARFGEF1"
"37","ARHGAP11B"
"38","ARHGAP17"
"39","ARHGAP21"
"40","ARHGAP35"
"41","ARID4B"
"42","ARIH1"
"43","ARNT"
"44","ARPC5L"
"45","ASH2L"
"46","ASNA1"
"47","ASNSD1"
"48","ATF6"
"49","ATIC"
"50","ATP11B"
"51","AXIN1"
"52","B4GALT5"
"53","BAG1"
"54","BAG6"
"55","BAZ1B"
"56","BAZ2A"
"57","BCCIP"
"58","BCL2L13"
"59","BCLAF1"
"60","BECN1"
"61","BMS1"
"62","BOD1"
"63","BOLA2B"
"64","BOP1"
"65","BORA"
"66","BPTF"
"67","BRAP"
"68","BRD2"
"69","BRD3"
"70","BRD9"
"71","BRF1"
"72","BRF2"
"73","BRPF1"
"74","BRPF3"
"75","BRWD3"
"76","BUD31"
"77","BYSL"
"78","BZW1"
"79","C12orf10"
"80","C12orf49"
"81","C16orf91"
"82","C17orf53"
"83","C1orf21"
"84","C1orf216"
"85","C1orf74"
"86","C1QBP"
"87","C6orf106"
"88","C6orf226"
"89","C7orf25"
"90","C9orf40"
"91","C9orf78"
"92","CAB39"
"93","CAB39L"
"94","CAD"
"95","CAND1"
"96","CARHSP1"
"97","CBLL1"
"98","CCAR1"
"99","CCDC115"
"100","CCDC174"
"101","CCDC51"
"102","CCDC84"
"103","CCDC9"
"104","CCM2"
"105","CCND2"
"106","CCNI"
"107","CCSAP"
"108","CCSER2"
"109","CCT7"
"110","CD2BP2"
"111","CDC25B"
"112","CDC26"
"113","CDC27"
"114","CDC37"
"115","CDC42SE2"
"116","CDC5L"
"117","CDC7"
"118","CDK11B"
"119","CDK14"
"120","CDKN1B"
"121","CDKN2AIPNL"
"122","CDKN2C"
"123","CDV3"
"124","CEBPZ"
"125","CENPW"
"126","CEP128"
"127","CEP57L1"
"128","CEP63"
"129","CEP68"
"130","CFDP1"
"131","CHAMP1"
"132","CHCHD4"
"133","CHD1"
"134","CHD4"
"135","CHD8"
"136","CIAO1"
"137","CKAP2"
"138","CKAP5"
"139","CKS1B"
"140","CKS2"
"141","CLK3"
"142","CLNS1A"
"143","CLP1"
"144","CMPK1"
