"","HuAgeMSNDsplitRnaseq_16....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ADGRL3"
"2","ANKRD35"
"3","BHLHE22"
"4","CA10"
"5","CACNA2D1"
"6","CACNA2D3"
"7","CEP112"
"8","CPNE4"
"9","DLG2"
"10","DPP6"
"11","EPHA6"
"12","ERC1"
"13","FGF14"
"14","GRIP1"
"15","HS6ST3"
"16","KCNIP4"
"17","LRCH2"
"18","MCTP1"
"19","MGAT4C"
"20","NFIA"
"21","NRG3"
"22","NRXN1"
"23","NRXN3"
"24","NYAP2"
"25","OPCML"
"26","PDE1A"
"27","RALGAPA1"
"28","RALYL"
"29","RNF152"
"30","SGIP1"
"31","TCF4"
"32","TENM2"
