"","HuAgeMSNDsplitRnaseq_07....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ACSS3"
"2","AHNAK"
"3","APLNR"
"4","BCAR3"
"5","BSG"
"6","CD109"
"7","CGNL1"
"8","GPR143"
"9","IZUMO4"
"10","LRP8"
"11","MYO10"
"12","PALM"
"13","PARVA"
"14","PLA2G6"
"15","PLTP"
"16","RHOC"
"17","RHOJ"
"18","SLC16A1"
"19","SLC16A9"
"20","SLC30A1"
"21","SLC40A1"
"22","SPATA25"
"23","THSD1"
"24","TNNT1"
