"","HuAgeMSNDsplitRnaseq_03....qRP_BY_aNP_ThanTrong_up__"
"1","APLP2"
"2","AQP7"
"3","CD63"
"4","CRTAP"
"5","CTSZ"
"6","DMXL2"
"7","ELK3"
"8","FKBP8"
"9","LIPG"
"10","NDUFA3"
"11","NENF"
"12","PELI2"
"13","PGRMC1"
"14","PKP4"
"15","RETSAT"
"16","SCG5"
"17","SEC62"
"18","SGPL1"
"19","SIGMAR1"
"20","TMEM59"
"21","WDFY3"
