"","HuAgeMSNDsplitRnaseq_08....monocytesBYoFC5__"
"1","DGKG"
"2","DOCK5"
"3","FCHO1"
"4","FOXD4"
"5","FOXD4L1"
"6","FOXD4L4"
"7","GALNT9"
"8","GNRH1"
"9","IP6K3"
"10","KCNAB2"
"11","MYO5A"
"12","NTNG2"
"13","PLEKHG1"
"14","RAP1GAP2"
"15","RNF144A"
"16","SH2D1B"
"17","SLC26A10"
"18","SYNE3"
"19","TBC1D2"
"20","TRAF1"
