"","HuAgeMSNDsplitRnaseq_05....MacroByMicro_Zhang_Cuffdiff2FCover20__"
"1","ADAM8"
"2","C19orf38"
"3","CAPN5"
"4","CD2"
"5","CD79A"
"6","F5"
"7","IGLC2"
"8","IGLC3"
"9","IGLC7"
"10","IGLL5"
"11","IKBKE"
"12","LOXL2"
"13","MOB3B"
"14","MSR1"
"15","MZB1"
"16","P2RY2"
"17","POU2AF1"
"18","SAA1"
"19","TGFB2"
"20","VCAN"
