"","HuAgeMSNDsplitRnaseq_08....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","AIF1L"
"2","CDC42EP1"
"3","CDK18"
"4","CDR1"
"5","CHN1"
"6","DST"
"7","ELAVL4"
"8","ENPP2"
"9","F11R"
"10","FSCN1"
"11","GFRA4"
"12","KCNT1"
"13","LRRC3"
"14","MAG"
"15","MOBP"
"16","PCDHB15"
"17","PMP22"
"18","RIC3"
"19","SH2D6"
"20","SLC17A7"
"21","SLCO1A2"
"22","STX1A"
"23","TGFA"
"24","TMEM144"
"25","TPPP"
"26","TSPAN7"
"27","ZFP57"
