"","brown....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","AMOTL1"
"2","ARHGEF25"
"3","CADM4"
"4","COL27A1"
"5","ENO2"
"6","FAM167B"
"7","FEZ1"
"8","KIF1A"
"9","KIF5A"
"10","MAGEH1"
"11","NRXN2"
"12","PECR"
"13","RGS7BP"
"14","RPH3A"
"15","SCOC"
"16","SMIM10L2A"
"17","SOX4"
"18","TCEAL3"
"19","TCEAL5"
"20","TCEAL6"
