,InputCategories,UserDefinedCategories,Type,NumOverlap,Pvalues,CorrectedPvalues
31,black,qnpBYtap_Mukherjee_FC5___,User,106,1.50E-05,0.015116329
32,black,QNSCbyPNSC_Ben_FC5___,User,83,4.30E-10,4.34E-07
33,black,qRG_BY_aRG_ThanTrong_up__,User,3,0.717406215,1
34,black,qRP_BY_aNP_ThanTrong_up__,User,45,8.53E-15,8.59E-12
35,black,QSVZbyPSVZ_Morizur_FC5___,User,222,5.82E-59,5.87E-56
36,black,tapBYqnp_Mukherjee_FC5___,User,52,0.008894581,1
37,blue,aNP_BY_qRP_ThanTrong_up__,User,1,0.984706069,1
38,blue,aRG_BY_qRG_ThanTrong_up__,User,11,0.124080232,1
39,blue,astroBYoFC5__,User,43,0.999988706,1
40,blue,AstroByothers_Zhang_Cuffdiff2FCover20__,User,16,0.999240591,1
41,blue,endoBYoFC5__,User,15,0.990066175,1
42,blue,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,26,0.987567857,1
43,blue,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,17,0.141775336,1
44,blue,macrophagesBYoFC5__,User,18,0.960009658,1
45,blue,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,21,0.955442004,1
46,blue,MicroByMono_Zhang_Cuffdiff2FCover20__,User,21,0.973367756,1
47,blue,microgliaBYoFC5__,User,9,0.995032761,1
48,blue,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,34,0.999999962,1
49,blue,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,41,0.446062185,1
50,blue,monocytesBYoFC5__,User,13,0.982310622,1
51,blue,myeoligoBYoFC5__,User,2,0.983553677,1
52,blue,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,6,0.999726174,1
53,blue,neuronBYoFC5__,User,47,0.415557547,1
54,blue,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,75,0.000103456,0.104283875
55,blue,newoligoBYoFC5__,User,3,0.990951835,1
56,blue,NewOligoByothers_Zhang_Cuffdiff2FCover20__,User,3,0.954924415,1
57,blue,npcBYnsc_Walker_FC5___,User,66,0.314500108,1
58,blue,nscBYnpc_Walker_FC5___,User,27,0.998399701,1
59,blue,PGBCbyQGBC_Aulestia_FC5___,User,52,0.663993542,1
60,blue,PGBObyQGBO_GSE114574_Tejero_FC5___,User,89,0.999825813,1
61,blue,PNSCbyQNSC_Ben_FC5___,User,52,0.01251417,1
62,blue,preoligoBYoFC5__,User,2,0.400255875,1
63,blue,PreOligoByothers_Zhang_Cuffdiff2FCover20__,User,9,0.409114819,1
64,blue,PSVZbyQSVZ_Morizur_FC5___,User,221,0.99999999,1
65,blue,QGBCbyPGBC_Aulestia_FC5___,User,10,0.386801773,1
66,blue,QGBObyPGBO_GSE114574_Tejero_FC5___,User,95,0.999221507,1
67,blue,qnpBYtap_Mukherjee_FC5___,User,68,0.99999867,1
68,blue,QNSCbyPNSC_Ben_FC5___,User,53,0.934746646,1
69,blue,qRG_BY_aRG_ThanTrong_up__,User,5,0.693853675,1
70,blue,qRP_BY_aNP_ThanTrong_up__,User,13,0.939099408,1
71,blue,QSVZbyPSVZ_Morizur_FC5___,User,62,0.99999974,1
72,blue,tapBYqnp_Mukherjee_FC5___,User,45,0.975194136,1
73,brown,aNP_BY_qRP_ThanTrong_up__,User,1,0.977732588,1
74,brown,aRG_BY_qRG_ThanTrong_up__,User,1,0.999161152,1
75,brown,astroBYoFC5__,User,42,0.999860735,1
76,brown,AstroByothers_Zhang_Cuffdiff2FCover20__,User,21,0.941889907,1
77,brown,endoBYoFC5__,User,15,0.97108337,1
78,brown,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,31,0.773124027,1
79,brown,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,4,0.997843098,1
80,brown,macrophagesBYoFC5__,User,26,0.318115285,1
81,brown,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,13,0.999041555,1
82,brown,MicroByMono_Zhang_Cuffdiff2FCover20__,User,20,0.9521783,1
83,brown,microgliaBYoFC5__,User,6,0.999347884,1
84,brown,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,53,0.96713295,1
85,brown,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,18,0.999839259,1
86,brown,monocytesBYoFC5__,User,13,0.955885558,1
87,brown,myeoligoBYoFC5__,User,6,0.446300576,1
88,brown,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,26,0.010674194,1
89,brown,neuronBYoFC5__,User,39,0.673317458,1
90,brown,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,36,0.920988605,1
91,brown,newoligoBYoFC5__,User,7,0.635558081,1
92,brown,NewOligoByothers_Zhang_Cuffdiff2FCover20__,User,4,0.831805757,1
93,brown,npcBYnsc_Walker_FC5___,User,36,0.999173908,1
94,brown,nscBYnpc_Walker_FC5___,User,12,0.999999981,1
95,brown,PGBCbyQGBC_Aulestia_FC5___,User,27,0.999919701,1
