"","HuAgeMSNDsplitRnaseq_06....PSVZbyQSVZ_Morizur_FC5___"
"1","ABHD11"
"2","ABT1"
"3","ACBD4"
"4","ACIN1"
"5","ADCK5"
"6","AEN"
"7","AGPS"
"8","AIDA"
"9","AKR1B1"
"10","ALDH16A1"
"11","ALKBH1"
"12","AMMECR1L"
"13","ANAPC1"
"14","ANGPTL6"
"15","ANKRD11"
"16","ANKRD44"
"17","ANKS3"
"18","AP5B1"
"19","APAF1"
"20","AREL1"
"21","ARHGAP25"
"22","ARHGAP27"
"23","ARHGAP39"
"24","ARL5A"
"25","ARL6IP6"
"26","ARRB2"
"27","ASB8"
"28","ATAD3A"
"29","ATAD5"
"30","ATG5"
"31","ATP8B2"
"32","ATR"
"33","AVEN"
"34","B4GALNT4"
"35","BAHCC1"
"36","BCAT1"
"37","BCDIN3D"
"38","BLOC1S4"
"39","BRD8"
"40","BRIX1"
"41","BTF3L4"
"42","C11orf58"
"43","C18orf54"
"44","C1orf109"
"45","C1orf159"
"46","C1orf174"
"47","C1QA"
"48","C1QB"
"49","C1QC"
"50","C7orf43"
"51","CARS2"
"52","CBFA2T2"
"53","CC2D1A"
"54","CCDC137"
"55","CCDC142"
"56","CCDC149"
"57","CCDC71"
"58","CCHCR1"
"59","CCNE1"
"60","CDC123"
"61","CDK10"
"62","CDK9"
"63","CEBPA"
"64","CEP131"
"65","CEP89"
"66","CGGBP1"
"67","CHEK2"
"68","CHRNE"
"69","CHTF18"
"70","CLK2"
"71","CLUAP1"
"72","CMSS1"
"73","CNOT11"
"74","COG8"
"75","CRNKL1"
"76","CRTC1"
"77","CSF1R"
"78","CSK"
"79","CTBP1"
"80","CTSS"
"81","CUL9"
"82","CWF19L1"
"83","CX3CR1"
"84","CXorf38"
"85","CXorf40A"
"86","CYB561A3"
"87","DCAF15"
"88","DCAF4"
"89","DCBLD2"
"90","DCK"
"91","DCLRE1C"
"92","DCTD"
"93","DCUN1D1"
"94","DDX18"
"95","DET1"
"96","DGCR8"
"97","DGKQ"
"98","DIS3L"
"99","DNPEP"
"100","DOCK11"
"101","DPP9"
"102","DUS3L"
"103","DVL2"
"104","E2F4"
"105","EEF1D"
"106","EIF2B1"
"107","ELAC2"
"108","ELAVL1"
"109","EPHA4"
"110","ERCC1"
"111","EXOSC10"
"112","EXOSC9"
"113","FAM110A"
"114","FAM118A"
"115","FAM220A"
"116","FANCF"
"117","FBXL18"
"118","FCER1G"
"119","FGD3"
"120","FHOD1"
"121","FMNL3"
"122","FRAT1"
"123","FRAT2"
"124","GALK1"
"125","GART"
"126","GGA1"
"127","GID4"
"128","GPX1"
"129","GPX7"
"130","GTPBP3"
"131","H2AFY2"
"132","HARBI1"
"133","HAUS1"
"134","HAUS8"
"135","HCK"
"136","HDAC6"
"137","HMG20A"
"138","HMGCL"
"139","HMGN3"
"140","HMGN5"
"141","HPGDS"
"142","IAH1"
"143","IKBKB"
"144","ING5"
"145","INIP"
"146","INO80B-WBP1"
"147","IP6K2"
"148","IPO11"
"149","IRF5"
"150","ITFG2"
"151","JADE3"
"152","KAT2A"
"153","KDM2B"
"154","KIAA0232"
"155","KLHL20"
"156","KLHL22"
"157","KMT2B"
"158","KPTN"
"159","LAPTM5"
"160","LARP7"
"161","LBR"
"162","LCP1"
"163","LPCAT2"
"164","LRCH4"
"165","LRR1"
"166","LRRC39"
"167","LSG1"
"168","LSM14A"
"169","LTC4S"
"170","LUC7L3"
"171","LYRM2"
"172","MACROD1"
"173","MAEA"
"174","MAF"
"175","MAP3K1"
"176","MAPK14"
"177","MBTD1"
"178","MCM3"
"179","MCM5"
"180","MCM9"
"181","MCOLN1"
"182","MDC1"
"183","MED1"
"184","MED15"
"185","MED19"
"186","MED22"
"187","METAP1"
"188","METTL4"
"189","MFNG"
"190","MILR1"
"191","MIS18BP1"
"192","MLXIP"
"193","MMP2"
"194","MNT"
"195","MRPL1"
"196","MRPS2"
