"","yellow....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ARHGAP18"
"2","ATP11C"
"3","CCDC6"
"4","CHP2"
"5","CLIC6"
"6","CRISPLD1"
"7","DNAH6"
"8","GSTT2B"
"9","GTF2A2"
"10","IL11RA"
"11","IQCG"
"12","IRX3"
"13","LMNTD1"
"14","NOTUM"
"15","PLK2"
"16","RASSF9"
"17","TCAF1"
"18","TDRP"
"19","UTRN"
"20","WWTR1"
