"","HuAgeMSNDsplitRnaseq_18....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","CCDC50"
"2","CSPG4"
"3","CTNND1"
"4","DLL4"
"5","DOCK6"
"6","EPAS1"
"7","EPHA2"
"8","JAG2"
"9","KRT18P4"
"10","LEF1"
"11","LIMS2"
"12","LINC02199"
"13","MMRN2"
"14","MOSMO"
"15","PLAT"
"16","SCAF11"
"17","SEMA3G"
"18","VASH1"
"19","VASP"
"20","VWF"
"21","ZDHHC12"
