"","darkgrey....QNSCbyPNSC_Ben_FC5___"
"1","ADAMTS1"
"2","BCAM"
"3","BGN"
"4","C1QTNF1"
"5","CAV1"
"6","DES"
"7","ECM1"
"8","EMP2"
"9","FHL1"
"10","FN1"
"11","GADD45B"
"12","HRC"
"13","HSPG2"
"14","IFITM2"
"15","LMOD1"
"16","MRGPRF"
"17","MYOF"
"18","NEXN"
"19","NPR1"
"20","RASL11A"
"21","SCUBE3"
"22","SERPINB1"
"23","SERPINE1"
"24","SGCA"
"25","SMAD7"
"26","SORBS2"
"27","SUSD2"
"28","SYNPO2"
