"","brown....PGBCbyQGBC_Aulestia_FC5___"
"1","AC009237.8"
"2","AC016397.2"
"3","AC093909.1"
"4","AL035446.1"
"5","ALDH1A1"
"6","C4orf48"
"7","CD40"
"8","CLEC11A"
"9","CLMP"
"10","CTSZ"
"11","DNAJC15"
"12","F8A3"
"13","FOCAD"
"14","H1F0"
"15","HIST3H2A"
"16","KBTBD11"
"17","KLHL9"
"18","KRT10"
"19","MAGEH1"
"20","PCDHB2"
"21","PRRX1"
"22","RN7SL3"
"23","RPL35AP15"
"24","SCG5"
"25","STARD5"
"26","TRAJ29"
"27","TUBB4A"
