"","HuAgeMSNDsplitRnaseq_01....MyeOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","ACAD8"
"2","CAB39L"
"3","CDC7"
"4","CELSR2"
"5","DCAF11"
"6","EIF2B2"
"7","EIF3D"
"8","ERGIC2"
"9","GGA3"
"10","GGT7"
"11","HIST1H2BG"
"12","IGSF8"
"13","MRPS18C"
"14","PCGF1"
"15","PCSK7"
"16","PDLIM2"
"17","PGK1"
"18","PPM1G"
"19","PSMD13"
"20","PVALB"
"21","RAB37"
"22","RNF38"
"23","SCAP"
"24","SFI1"
"25","SMG9"
"26","SMIM1"
"27","SNX27"
"28","TTC3"
"29","UBAP1"
"30","UBXN2A"
"31","ZC3H14"
"32","ZNF639"
