"","magenta....QSVZbyPSVZ_Morizur_FC5___"
"1","AFAP1"
"2","ARHGAP24"
"3","BCAP29"
"4","BCKDHB"
"5","BRINP1"
"6","C16orf45"
"7","CABLES1"
"8","CCDC167"
"9","CHST11"
"10","COX10"
"11","CPQ"
"12","CTHRC1"
"13","DLC1"
"14","DLGAP1"
"15","DNM3"
"16","DOCK4"
"17","DUSP23"
"18","ELMO1"
"19","FAHD1"
"20","FAR2"
"21","FBRSL1"
"22","FNDC3B"
"23","FOXO1"
"24","FZD9"
"25","GSTK1"
"26","ITGA1"
"27","KCNK1"
"28","KCTD13"
"29","KIRREL3"
"30","KSR1"
"31","MECR"
"32","MFAP3L"
"33","MYO1E"
"34","NARS2"
"35","NCKAP5"
"36","NRIP1"
"37","NUBPL"
"38","NXPE4"
"39","OTUD7A"
"40","PDGFC"
"41","PDK2"
"42","PDZD2"
"43","PEX26"
"44","PEX7"
"45","PIGP"
"46","PLCL1"
"47","PRKCA"
"48","PRR5"
"49","PRR5L"
"50","RBMS1"
"51","RCAN2"
"52","RFX2"
"53","RHBDD1"
"54","RORA"
"55","RREB1"
"56","SCFD2"
"57","SLC22A23"
"58","SLC9A9"
"59","SNX33"
"60","SORBS3"
"61","SPOCK1"
"62","SPOCK3"
"63","ST3GAL4"
"64","ST7L"
"65","TBC1D10A"
"66","TET1"
"67","TFCP2"
"68","TIAM2"
"69","TMEFF2"
"70","TMEM177"
"71","VRK2"
"72","ZNF423"
