"","magenta....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","C9orf85"
"2","CD59"
"3","COP1"
"4","CTNNBIP1"
"5","FAR2"
"6","FOXP1"
"7","GRB10"
"8","ITGA1"
"9","NCOA7"
"10","NODAL"
"11","NRP2"
"12","SGK3"
"13","SGMS1"
"14","SGPP2"
"15","SHROOM4"
"16","SLC35D2"
"17","SPATA6"
"18","SYNE2"
"19","SYT15"
"20","TPD52L1"
"21","TRIM16"
"22","UBL7"
"23","ZFP69"
