"","HuAgeMSNDsplitRnaseq_13....PGBCbyQGBC_Aulestia_FC5___"
"1","AC106818.1"
"2","AK2P2"
"3","AL445423.1"
"4","AP001542.3"
"5","CLEC19A"
"6","DDX3Y"
"7","EIF1AY"
"8","KDM5D"
"9","MTND5P42"
"10","PDCD1LG2"
"11","RNU6-1086P"
"12","RNU6ATAC36P"
"13","RPS4Y1"
"14","SKA3"
"15","SNORD3B-1"
"16","ST8SIA2"
"17","TMEM200A"
"18","TMSB4Y"
"19","TRAJ36"
"20","TXLNGY"
"21","USP9Y"
