"","magenta....MicrogliByothers_Zhang_Cuffdiff2FCover20__"
"1","ADCY3"
"2","AMN1"
"3","BBS9"
"4","CABLES1"
"5","CBL"
"6","CCL3L1"
"7","CCL4"
"8","CCL4L2"
"9","CCL8"
"10","CCND3"
"11","CDK6"
"12","DISC1"
"13","ELMO1"
"14","EVL"
"15","FGGY"
"16","GALNT11"
"17","HFE"
"18","KCTD12"
"19","MED27"
"20","NECAB3"
"21","PDE7B"
"22","PKIG"
"23","PLGRKT"
"24","PPCDC"
"25","SCFD2"
"26","SFXN4"
"27","SH2B3"
"28","SLC35C2"
"29","SPATA5"
"30","SPECC1"
"31","SRGAP2B"
"32","SRGAP2C"
"33","SSH2"
"34","TBC1D10A"
"35","TBCA"
"36","TFCP2"
"37","ZC4H2"
