"","HuAgeMSNDsplitRnaseq_01....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ANK2"
"2","BEND6"
"3","BHLHE41"
"4","CD83"
"5","CLGN"
"6","CTSF"
"7","EID2"
"8","EIF2S3"
"9","FKBP5"
"10","FKBP9"
"11","LAG3"
"12","MYH14"
"13","NECTIN2"
"14","PACSIN3"
"15","PC"
"16","PCDH1"
"17","PDE3B"
"18","SEMA4C"
"19","SLC22A17"
"20","TBC1D16"
"21","TLN2"
"22","XRCC5"
"23","ZNF454"
