"","HuAgeMSNDsplitRnaseq_24....endoBYoFC5__"
"1","BCAM"
"2","CAVIN1"
"3","CD151"
"4","CD93"
"5","COL4A1"
"6","COL4A2"
"7","DES"
"8","ECM1"
"9","EHD2"
"10","FAM129A"
"11","FN1"
"12","HRCT1"
"13","HSPG2"
"14","IFITM2"
"15","IGFBP7"
"16","LRRC32"
"17","NPR1"
"18","PLS3"
"19","PROCR"
"20","PTGIS"
"21","PTGS2"
"22","RRAS"
"23","SRGN"
"24","THBD"
"25","TM4SF1"
