"","HuAgeMSNDsplitRnaseq_10....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","ADAM32"
"2","BMT2"
"3","BTN2A3P"
"4","C2orf88"
"5","CABYR"
"6","CCDC144B"
"7","CCNB2"
"8","CDT1"
"9","CSGALNACT1"
"10","CSMD2"
"11","EIF2S2"
"12","HSP90AA5P"
"13","LINC00520"
"14","LINC00996"
"15","LINC01686"
"16","LINC01816"
"17","MCM3AP-AS1"
"18","MCU"
"19","RPL17P36"
"20","RPL34-AS1"
"21","RPL5P34"
"22","SCUBE2"
"23","SEM1P1"
"24","SFR1"
"25","TMEM128"
"26","ZDHHC24"
"27","ZNF428"
"28","ZNF567"
