"","HuAgeMSNDsplitRnaseq_06....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ABCC4"
"2","ABCC9"
"3","ACOT9"
"4","ADAMTSL2"
"5","BICD2"
"6","CCDC125"
"7","CLEC9A"
"8","CNPY3"
"9","DOK4"
"10","ENDOV"
"11","FAM118A"
"12","FAM124B"
"13","HSF4"
"14","IL27RA"
"15","IMPDH1"
"16","LBR"
"17","LSM14A"
"18","MGST2"
"19","NR1H3"
"20","POFUT1"
"21","PRKAB1"
"22","REC8"
"23","RFLNB"
"24","RPS6KA3"
"25","SERPINA1"
"26","SFSWAP"
"27","SPSB2"
"28","ST8SIA4"
"29","TMEM216"
