"","HuAgeMSNDsplitRnaseq_12....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ALPL"
"2","ARL4D"
"3","BMP1"
"4","EGR1"
"5","ETV5"
"6","GARNL3"
"7","IGFBP2"
"8","ILDR2"
"9","JAM2"
"10","JAM3"
"11","KCNMA1"
"12","LAMB2"
"13","MLPH"
"14","MMP14"
"15","MYLIP"
"16","NPNT"
"17","OLFML3"
"18","PMEPA1"
"19","RAB3IL1"
"20","SCARF2"
"21","SERPINF1"
"22","SPARC"
"23","THNSL2"
"24","TMEM100"
"25","TMEM37"
"26","TMOD1"
"27","TSPAN4"
"28","TTR"
"29","UPK1B"
