"","HuAgeMSNDsplitRnaseq_22....QSVZbyPSVZ_Morizur_FC5___"
"1","ABHD6"
"2","ABTB2"
"3","APLP1"
"4","ERMP1"
"5","FAAH"
"6","FAM131B"
"7","FAM171A1"
"8","HEY1"
"9","HEYL"
"10","KIAA1324L"
"11","KLHL4"
"12","LGI3"
"13","MAGI1"
"14","MBOAT1"
"15","MGAT3"
"16","MPP2"
"17","MTMR7"
"18","MYO1D"
"19","NIPA1"
"20","PCSK6"
"21","PEX5L"
"22","PLD1"
"23","PSD3"
"24","RASGRP3"
"25","ROGDI"
"26","SCRN3"
"27","SERINC5"
"28","SLC6A9"
"29","STMN4"
"30","TMC7"
"31","TMEM104"
"32","TMEM151A"
"33","VSTM4"
