"","HuAgeMSNDsplitRnaseq_04....MicrogliByothers_Zhang_Cuffdiff2FCover20__"
"1","ALOX15"
"2","ARMC3"
"3","ARNT2"
"4","BTBD10"
"5","CALB1"
"6","CRIP1"
"7","DNAH2"
"8","DNAJB13"
"9","DNMT3A"
"10","FBXO3"
"11","FHAD1"
"12","GPAT2"
"13","GUCA1A"
"14","IFT43"
"15","NRGN"
"16","OLFM4"
"17","PBX3"
"18","PTPRO"
"19","RGS14"
"20","SPACA9"
"21","TGIF1"
"22","TMEM107"
"23","TMEM120B"
"24","TPBGL"
"25","TSLP"
