"","green....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ABCC3"
"2","ANKRD23"
"3","ASAP3"
"4","CXXC5"
"5","DUOXA1"
"6","ERMAP"
"7","FGF1"
"8","HSPB3"
"9","IL1RL2"
"10","KCND1"
"11","PROM2"
"12","SLC39A8"
"13","SLC7A8"
"14","SPEG"
"15","SPINT1"
"16","SPSB1"
"17","ST5"
"18","THBS2"
"19","ZFP2"
"20","ZFP37"
