"","magenta....QNSCbyPNSC_Ben_FC5___"
"1","AK5"
"2","ANXA11"
"3","ATXN1"
"4","C11orf1"
"5","C16orf45"
"6","C1QL1"
"7","C1QTNF3-AMACR"
"8","CD59"
"9","CDH22"
"10","CLDN9"
"11","CTNNA3"
"12","FGGY"
"13","FRMD5"
"14","FSCN2"
"15","HIST2H2AA4"
"16","HIVEP3"
"17","ITGA1"
"18","KIF16B"
"19","MITF"
"20","NAV1"
"21","PDK2"
"22","PRKCE"
"23","RBMS1"
"24","RCAN2"
"25","SLC9A9"
"26","SORBS3"
"27","ST3GAL2"
"28","TMEFF2"
