"","HuAgeMSNDsplitRnaseq_09....npcBYnsc_Walker_FC5___"
"1","A4GALT"
"2","ATP10B"
"3","ATP8B1"
"4","C10orf90"
"5","C1QTNF3-AMACR"
"6","CLDN9"
"7","COL6A6"
"8","CTHRC1"
"9","CTNNA3"
"10","DNASE1"
"11","GGT1"
"12","GPR61"
"13","HSPA12A"
"14","KCNIP1"
"15","KCNK1"
"16","KIRREL3"
"17","LRFN2"
"18","NODAL"
"19","PIEZO2"
"20","PRR5L"
"21","SGPP2"
"22","SH3RF3"
"23","SLC27A2"
"24","SLCO3A1"
"25","SPOCK3"
"26","SPRR2G"
"27","TMEFF2"
"28","TMEM132C"
"29","UNC5C"
