"","lightgreen....QNSCbyPNSC_Ben_FC5___"
"1","A2M"
"2","ABCB1"
"3","ADRA1D"
"4","CPEB3"
"5","DUSP15"
"6","ENG"
"7","GGT5"
"8","GIMAP6"
"9","GIMAP8"
"10","IL4R"
"11","LIMS2"
"12","MAPK10"
"13","MMRN2"
"14","P2RY6"
"15","PAPSS2"
"16","PODXL"
"17","PTH1R"
"18","RAMP2"
"19","RET"
"20","SCARF1"
"21","SEMA3F"
"22","SLC1A7"
"23","SLC6A6"
"24","SMAD6"
"25","SOCS2"
"26","TGM2"
"27","TINAGL1"
"28","TMEM150A"
"29","TNFRSF10D"
