"","HuAgeMSNDsplitRnaseq_05....QGBCbyPGBC_Aulestia_FC5___"
"1","AC026954.1"
"2","AC136475.3"
"3","AL022334.2"
"4","AL158151.1"
"5","AL590004.3"
"6","AL590004.4"
"7","BAALC-AS2"
"8","BNIP3P4"
"9","FUT3"
"10","LYPD2"
"11","NLRP6"
"12","OR13J1"
"13","PLA2G2A"
"14","RN7SKP55"
"15","RNA5SP379"
"16","RNA5SP41"
"17","RNU6-912P"
"18","S100A7"
