"","HuAgeMSNDsplitRnaseq_05....PNSCbyQNSC_Ben_FC5___"
"1","BARD1"
"2","BLM"
"3","BRCA1"
"4","CCDC18"
"5","DBF4"
"6","DNA2"
"7","FIGN"
"8","GCK"
"9","IFRD2"
"10","LAMA2"
"11","LSM11"
"12","MCM6"
"13","MEGF6"
"14","MUC4"
"15","NPHP4"
"16","NTN1"
"17","OIP5"
"18","RCC1"
"19","RFC4"
"20","RFX8"
"21","TJP3"
"22","VCAN"
"23","WDR76"
