"","HuAgeMSNDsplitRnaseq_03....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","ANP32A"
"2","CBSL"
"3","CCDC107"
"4","CNN3"
"5","DAAM2"
"6","ENAH"
"7","FGFR1"
"8","GABBR1"
"9","GNAO1"
"10","HNRNPD"
"11","KTN1"
"12","LONRF3"
"13","NAT8B"
"14","NSD1"
"15","PABPN1"
"16","PAQR6"
"17","PBRM1"
"18","RABGGTB"
"19","SH3GLB2"
"20","ZNF688"
"21","ZNHIT1"
