"","tan....MicroByMacro_Zhang_Cuffdiff2FCover20__"
"1","ALPL"
"2","APOB"
"3","B4GALT4"
"4","C1orf56"
"5","C5AR2"
"6","CA14"
"7","COL1A1"
"8","COL6A3"
"9","CST7"
"10","DCN"
"11","FOXC1"
"12","GCNT2"
"13","IGFBP6"
"14","ILDR2"
"15","ITIH5"
"16","LILRB5"
"17","LTBP4"
"18","MMP14"
"19","OLFML3"
"20","P3H3"
"21","PCOLCE2"
"22","PERP"
"23","PMEPA1"
"24","RAB3IL1"
"25","RARRES2"
"26","S100A8"
"27","S100A9"
"28","SERPINF1"
"29","SPARC"
"30","SULF1"
"31","TMEM100"
"32","TTR"
"33","VCAM1"
