"","HuAgeMSNDsplitRnaseq_07....MonoByMicro_Zhang_Cuffdiff2FCover20__"
"1","ADORA2B"
"2","AHNAK"
"3","APLNR"
"4","ATP2B4"
"5","CAPN2"
"6","CGNL1"
"7","COL20A1"
"8","EMID1"
"9","EZR"
"10","FOXRED2"
"11","HIP1"
"12","LMO1"
"13","MGST1"
"14","MICALL2"
"15","NT5E"
"16","P2RY1"
"17","PLEC"
"18","RARG"
"19","RASSF10"
"20","RHOJ"
"21","RYR3"
"22","SIRPA"
"23","SPX"
"24","STOM"
"25","STOX1"
"26","TNIK"
"27","VILL"
