"","lightgreen....QSVZbyPSVZ_Morizur_FC5___"
"1","ABCB1"
"2","CDH5"
"3","CPEB3"
"4","ELOVL7"
"5","EPAS1"
"6","ESAM"
"7","GNG11"
"8","HIGD1B"
"9","IFNGR1"
"10","ITM2A"
"11","MAPK10"
"12","MFSD2A"
"13","NUMB"
"14","PALMD"
"15","PAPSS2"
"16","PDGFRB"
"17","PLAT"
"18","PTH1R"
"19","PXDC1"
"20","SLC2A1"
"21","SMIM3"
"22","SOX18"
"23","STARD8"
"24","TCN2"
