"","red....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ADGRL1"
"2","AIF1"
"3","ANKS3"
"4","AP1B1"
"5","AP1S2"
"6","ARFGAP1"
"7","ARRB2"
"8","ATL1"
"9","ATP8B2"
"10","C1orf162"
"11","CBFA2T2"
"12","CCDC149"
"13","CLEC16A"
"14","CRHBP"
"15","EEF1D"
"16","EIF2B1"
"17","FAM49B"
"18","ING5"
"19","IPO11"
"20","MROH1"
"21","NUP54"
"22","ODF2"
"23","PHC1"
"24","PNCK"
"25","PTPRF"
"26","SNAP47"
"27","STXBP2"
"28","TDRD6"
"29","TMEM63B"
"30","ZBTB48"
