"","HuAgeMSNDsplitRnaseq_02....MicroByMacro_Zhang_Cuffdiff2FCover20__"
"1","ADGRL2"
"2","ANO7"
"3","ASB2"
"4","CA4"
"5","CAMK2N1"
"6","CD276"
"7","CRYBB1"
"8","FXYD3"
"9","GRM8"
"10","INPP4B"
"11","KHDRBS3"
"12","LIPH"
"13","MB21D2"
"14","MPO"
"15","RPH3AL"
"16","RTN4RL1"
"17","SLC2A13"
"18","SLC39A4"
"19","TMEM44"
"20","USP2"
"21","ZNF697"
