"","magenta....MyeOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","APBB2"
"2","BRSK2"
"3","C10orf90"
"4","CTNNA3"
"5","FAM178B"
"6","KCTD13"
"7","NBEAL1"
"8","PDE1C"
"9","PDSS2"
"10","PHC2"
"11","PIP5K1B"
"12","PRIM1"
"13","PRR5L"
"14","SLCO3A1"
"15","SPOCK3"
"16","TBC1D7"
"17","TBL1XR1"
"18","UBE2E2"
"19","XXYLT1"
