"","HuAgeMSNDsplitRnaseq_19....PSVZbyQSVZ_Morizur_FC5___"
"1","ANKLE1"
"2","ATG10"
"3","CNOT3"
"4","DPH6"
"5","ENOX2"
"6","LTV1"
"7","MED21"
"8","MTERF1"
"9","NAALADL2"
"10","PHF12"
"11","POLA1"
"12","RBM4B"
"13","RFC3"
"14","RPE"
"15","RSRC1"
"16","SLAIN2"
"17","SMARCB1"
"18","SMNDC1"
"19","TBC1D32"
"20","USP21"
"21","WDPCP"
"22","ZNF213"
