"","HuAgeMSNDsplitRnaseq_15....QSVZbyPSVZ_Morizur_FC5___"
"1","ABCA5"
"2","ABHD3"
"3","BCAR1"
"4","CLK4"
"5","CPEB4"
"6","CRELD1"
"7","DCAF5"
"8","F3"
"9","FRMD8"
"10","GLS"
"11","HBEGF"
"12","HSD17B7"
"13","HSPA1A"
"14","HSPA1B"
"15","HSPB1"
"16","ICA1"
"17","KIAA0040"
"18","MPV17L2"
"19","NMB"
"20","NUP98"
"21","OCIAD1"
"22","OSBPL1A"
"23","PLOD1"
"24","RGL1"
"25","RRBP1"
"26","SDSL"
"27","TIPARP"
"28","TMIE"
"29","TRAF2"
"30","TRPC1"
"31","USP30"
"32","ZDHHC18"
"33","ZNF574"
