"","black....nscBYnpc_Walker_FC5___"
"1","BCHE"
"2","CD38"
"3","CHST7"
"4","CTSH"
"5","DNASE2"
"6","EGFR"
"7","KBTBD12"
"8","MAP3K5"
"9","MYH15"
"10","NPL"
"11","PPP1R3G"
"12","RGR"
"13","SALL3"
"14","SIRPA"
"15","SLC25A45"
"16","SLC40A1"
"17","STK17B"
"18","THEM6"
"19","VILL"
"20","VWCE"
"21","ZNF627"
