"","turquoise....nscBYnpc_Walker_FC5___"
"1","ARHGAP11B"
"2","C17orf53"
"3","CATSPERG"
"4","CD83"
"5","CELA2A"
"6","CELA2B"
"7","CH25H"
"8","CLEC4M"
"9","HIST1H1T"
"10","HMGA1"
"11","INTS5"
"12","KCNK9"
"13","LBX2"
"14","MEF2C"
"15","NFKBIZ"
"16","NR1I3"
"17","NT5C1A"
"18","OSM"
"19","PIN1"
"20","QPRT"
"21","RELT"
"22","SERPINB6"
"23","STAT6"
"24","TLN2"
"25","WWP1"
